City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ushuaia,-54.8,-68.3,10.81,82,75,12.86,AR,1708296424
83,bereznik,62.8551,42.7072,-5.86,90,100,4.28,RU,1708296589
84,manaure,11.7751,-72.4445,30.54,57,5,6.77,CO,1708296590
85,ankpa,7.3706,7.6253,27.65,18,39,1.39,NG,1708296591
86,iqaluit,63.7506,-68.5145,-33.15,68,0,9.77,CA,1708296592
87,kabalo,-6.05,26.9167,20.84,97,100,0.31,CD,1708296593
88,namanga,-2.5433,36.7905,21.84,62,100,1.82,KE,1708296594
89,petropavlovsk-kamchatsky,53.0452,158.6483,-12.67,34,0,3.0,RU,1708296595
90,lebu,-37.6167,-73.65,15.3,78,1,9.62,CL,1708296596
91,tura,25.5198,90.2201,14.48,39,3,1.21,IN,1708296597
92,palmas,-10.2128,-48.3603,26.93,83,75,0.51,BR,1708296598
93,northam,51.0333,-4.2167,10.22,99,44,4.16,GB,1708296600
94,hermanus,-34.4187,19.2345,19.33,73,0,5.54,ZA,1708296601
95,dudinka,69.4058,86.1778,-21.85,91,100,12.07,RU,1708296497
96,harrai,22.6167,79.2167,20.95,36,8,1.94,IN,1708296603
97,bonito,-21.1211,-56.4819,25.56,85,36,1.96,BR,1708296604
98,kargil,34.5667,76.1,-6.53,94,100,3.23,IN,1708296605
99,taltal,-25.4,-70.4833,20.79,79,56,2.37,CL,1708296499
100,quepos,9.4236,-84.1652,28.92,82,96,1.86,CR,1708296607
101,isafjordur,66.0755,-23.124,3.76,88,100,1.23,IS,1708296608
102,mcalester,34.9334,-95.7697,12.05,28,20,2.57,US,1708296604
103,dori,14.0354,-0.0345,25.05,12,77,3.97,BF,1708296611
104,badger,64.8,-147.5333,-4.55,73,0,0.0,US,1708296613
105,fortaleza,-3.7227,-38.5247,29.48,92,75,2.57,BR,1708296373
106,cidreira,-30.1811,-50.2056,23.9,87,0,7.09,BR,1708296615
107,ancud,-41.8697,-73.8203,15.95,68,83,1.34,CL,1708296616
108,abepura,-2.6333,140.5833,25.45,94,20,1.54,ID,1708296617
109,kiunga,-6.1219,141.2906,24.93,95,100,0.7,PG,1708296618
110,utrik,11.2278,169.8474,26.19,84,95,5.65,MH,1708296619
111,vakarai,55.6035,23.8213,-1.71,74,100,3.26,LT,1708296621
112,port lincoln,-34.7333,135.8667,21.29,69,86,6.01,AU,1708296622
113,antsiranana,-12.2787,49.2917,26.84,86,100,4.25,MG,1708296623
114,lerwick,60.1545,-1.1494,8.0,80,97,6.85,GB,1708296624
115,bairagnia,26.75,85.2833,12.74,33,40,2.01,IN,1708296625
116,sydney,-33.8679,151.2073,23.76,86,75,6.69,AU,1708296164
117,margaret river,-33.95,115.0667,22.71,56,100,3.61,AU,1708296627
